Company Name,Job Title,Location,Company Domain,Job LinkedIn URL,Posted On,GPA out of 4,GPA out of 5,Majors,Duration,Skills,Description
PwC,Deals COOPs - Forensics - KSA,Riyadh,taxpackagesupport.com,https://www.linkedin.com/jobs/view/deals-coops-forensics-ksa-at-pwc-4061740893,2024-10-28T19:50:31.766Z,3.0,,"business, engineering",28 weeks,"Communication skills, Teamwork, Problem-solving, Adaptability","We are PwC Middle East. Our business makes change happen. With around 8,000 people across 12 countries in the Middle East, you’ll play a part in building a human-led, tech-powered future. We operate regionally, connecting more than 295,000 people across the globe, bringing together unique knowledge and experiences. Our Co-op Internships offer high caliber students the opportunity to experience work and life at PwC, and gain a valuable insight into our business and culture. You’ll work alongside graduate trainees and experienced professionals on live and interesting client projects. You will be doing real work on real clients so be prepared to get involved. The Co-op is due to start in January 2024. Deals provide an opportunity for faster growth, development of stronger capabilities, accelerated operational transformation, value realization and protection. We draw upon our deals experience across many industries to support and partner with our clients. The insight we create, coupled with the Intelligent Digital tools and methodologies which we use to get to and evaluate the data that matters, and contributes to the success of our clients in all Deals situations. As a co-op you’ll gain invaluable industry experience, work with inspiring people driven to make a difference and become a part of a culture that thrives on the diversity of its people. You’ll work on client engagements, take part in projects addressing some of the tough challenges and strengthen your skills while witnessing the impact of your contribution. And you’ll have a potential fast track into our Graduate Program at the end of the co-op. The teams you could join include: Transaction Services, Business Restructuring Services, Forensic Services, Valuations, Corporate Finance, Deals, Strategy & Operations, Government & Infrastructure. Be eligible for a Co-op internship and available for the full 28 weeks, with your university and final year student with a related degree in Business or Engineering or similar and a cumulative GPA of 3.0/4. Arabic speaking candidates preferred. Have the legal right to work in the country you are applying to without restrictions, we do not provide sponsorship for our internships."
PwC Middle East,"Deals, COOP & Summer Internship Program, Middle East, 2025",Riyadh,jo.pwc.com,https://www.linkedin.com/jobs/view/deals-coop-summer-internship-program-middle-east-2025-at-pwc-middle-east-4053394433,2024-11-09T12:00:00.000Z,3.0,,"business, finance,accounting",Co-op Program: 4-6 months; Summer Internship Program: 6-8 weeks,"Time management, Communication skills, Adaptability, Problem-solving","PwC Middle East is hiring for a Deals, COOP & Summer Internship Program in the Middle East for 2025. The program offers high-caliber students the opportunity to gain valuable insight into PwC's business and culture by working on live client projects. The internship focuses on Deals, providing experience in faster growth, stronger capabilities, accelerated operational transformation, value realization, and protection. The program includes opportunities in Transaction Services, Business Restructuring Services, Forensic Services, Valuations, Corporate Finance, Deals, Strategy & Operations, and Government & Infrastructure. The Co-op program runs for 4-6 months with intakes in January and August 2025 in KSA (Riyadh, Jeddah) and Egypt. Ideal candidates are in their final year of university with a related degree and a GPA of 3.0/4 or higher. The Summer Internship Program runs for 6-8 weeks, starting in June 2025, in Saudi Arabia, UAE, Egypt, Qatar, Jordan, and Lebanon. Ideal candidates are entering their final year of university with a related degree and a GPA of 3.0/4 or higher; Arabic speakers are preferred. Sponsorship is not provided."
HSBC,COOP Internship Program - Investment Banking,Riyadh,hsbc.com,https://www.linkedin.com/jobs/view/coop-internship-program-investment-banking-at-hsbc-4059925956,2024-10-26T14:35:18.970Z,3.0,5.0,"business administration ,finance",,"Proficiency in MS Office applications, Arabic, English","HSBC is hiring for a COOP Internship Program in Investment Banking in Riyadh, Saudi Arabia. The program seeks Business Administration students majoring in Finance, proficient in MS Office applications, with a minimum GPA of 3 out of 5, and fluency in both Arabic and English."
PwC Middle East,IFS - Summer Internship Program,Riyadh,jo.pwc.com,https://www.linkedin.com/jobs/view/ifs-summer-internship-program-at-pwc-middle-east-4047494449,2024-11-05T12:00:00.000Z,3.0,,"human resources, business, mis, occupational psychology",8 weeks,"Time management, Communication skills, Adaptability, Problem-solving","About our Internship Program: This exciting summer internship opportunity will provide valuable work experience with a top Middle East organization. Interns will grow, learn new skills, and help solve important challenges. The program starts Summer 2025 (potentially June 2025). PwC Middle East is a network of firms with around 11,000 people across 12 Middle East countries. The internship focuses on Internal Firm Services, helping local offices drive people strategy, create unique people experiences, and support firm-wide values. Interns will gain invaluable industry experience, work on engagements and projects, and strengthen their skills. Teams include Talent Management, Learning & Development, Risk/Compliance, Recruitment, Marketing, and IT. Requirements include being a current 3rd or final year student with a related degree (Human Resources, Business, MIS, Occupational Psychology or similar), a 3.0/4 GPA, and the legal right to work in the country. Arabic speakers are preferred. Benefits include one-on-one coaching and mentoring, challenging client work, networking events, and expanding professional and personal networks."
Elm Company,Coop Training - Industrial Engineering(Jan/Mar/Jun/Aug 2025 Intake) Job,Riyadh,elm.sa,https://www.linkedin.com/jobs/view/coop-training-industrial-engineering-jan-mar-jun-aug-2025-intake-job-at-elm-company-4056468382,2024-10-23T19:06:20.395Z,2.75,3.25,industrial engineering,16 weeks,"Technical skills, Problem-solving, Communication, Project management","Elm Company offers a Coop Training program for Industrial Engineering students. The program provides practical experience in IT Development, Quality Assurance, IoT, Artificial Intelligence, and other domains. Successful candidates will learn about emerging technologies from subject matter experts. Eligibility requires a minimum GPA of 2.75/4.0 or 3.25/5.0 and enrollment in the final semester of studies. The program lasts a minimum of 16 weeks."
PwC Middle East,"Tax & Legal Services, COOP & Summer Internship Program, Middle East, 2025",Riyadh,jo.pwc.com,https://www.linkedin.com/jobs/view/tax-legal-services-coop-summer-internship-program-middle-east-2025-at-pwc-middle-east-4039997116,2024-10-25T09:31:01.000Z,3.0,,"finance, business, stem, economics, accounting","Coop Program: 4-6 months, Summer Internship Program: 6-8 weeks","Time management, Communication skills, Adaptability, Problem-solving","Tax & Legal Services, COOP & Internship, Middle East, 2025. The Co-op program runs for 4-6 months with intakes in January and August 2025 in KSA (Riyadh, Jeddah, Al Khobar) and Egypt. The Summer Internship Program runs for 6-8 weeks starting in June 2025 in Saudi Arabia, UAE, Egypt, Kuwait, Oman, Qatar, Lebanon, and Palestine. Ideal candidates are final-year university students with a related degree (Business, Finance, Accounting, etc.) and a GPA of 3.0/4 or higher. Arabic speakers are preferred. Interns will work on real client projects, potentially leading to a fast track into the Graduate Program."
PwC Middle East,"Assurance, COOP & Summer Internship Program, Middle East, 2025",Riyadh,jo.pwc.com,https://www.linkedin.com/jobs/view/assurance-coop-summer-internship-program-middle-east-2025-at-pwc-middle-east-4047987894,2024-11-01T09:28:33.000Z,3.0,,"business, finance, accounting","Co-op Program: 4-6 months, Summer Internship Program: 6-8 weeks","Time management, Communication skills, Adaptability, Problem-solving","PwC Middle East is hiring for an Assurance, COOP & Summer Internship Program in the Middle East for 2025. The program offers high-caliber students the opportunity to gain valuable insight into PwC's business and culture by working alongside experienced professionals on live client projects. The internship includes working on client engagements, participating in projects addressing challenging issues, and skill development. Successful interns may have a fast track to the Graduate Program. The Co-op program runs for 4-6 months with intakes in January and August 2025 in KSA and Egypt. Ideal candidates are in their final year of university with a related degree and a GPA of 3.0/4 or higher. The Summer Internship Program runs for 6-8 weeks starting in June 2025 across various Middle Eastern offices. Ideal candidates are entering their final year of university with a related degree and a GPA of 3.0/4 or higher; Arabic speakers are preferred. Candidates must have the legal right to work in their applied country without sponsorship."
Nahdi Medical Co.,Human Resources Internship,Saudi Arabia,nahdi.sa,https://www.linkedin.com/jobs/view/human-resources-internship-at-nahdi-medical-co-4067534594,2024-11-03T17:42:36.731Z,,,"business administration, human resources management, or any relevant majors, management information system",6 months,"Proficiency in English, proficiency in Microsoft Office applications (Word, Excel, PowerPoint, Outlook), excellent written and verbal communication skills, good project management skills","Nahdi Medical Co. Internship (COOP) Program is a six-month training program for undergraduate Saudi students. As a Human Resources Intern, you could work in Learning and Development or Human Resources Strategy. Qualifications include studying towards a Bachelor's degree in a relevant major, being a Saudi National or considered Saudi, proficiency in English and Microsoft Office, excellent communication skills, and good project management skills. The application process involves an online application, assessment, and interviews. The internship period is January 2025 to July 2025."
KPMG Saudi Arabia,Audit COOP,Riyadh,kpmg.com.sa,https://www.linkedin.com/jobs/view/audit-coop-at-kpmg-saudi-arabia-4038912528,2024-10-22T09:56:25.000Z,3.0,4.0,accounting,3 Months,"Excellent communication skills in English and Arabic, Strong intercultural awareness","KPMG Saudi Arabia's Audit COOP program is a three-month internship for accounting students. Requirements include a bachelor's degree (or senior student status) in accounting, a GPA of 3 out of 4 or 4 out of 5, excellent communication skills in English and Arabic, strong intercultural awareness, and successful completion of online assessments and interviews. The program offers practical work experience, professional development opportunities, and a chance to secure a graduate role upon completion and degree attainment. KPMG Saudi Arabia is one of the largest professional service providers in the Saudi Levant Cluster, offering audit, tax, and advisory services."
Elm Company,Coop Training - Human Resources(Jan/Mar/Jun/Aug 2025 Intake) Job,Riyadh,elm.sa,https://www.linkedin.com/jobs/view/coop-training-human-resources-jan-mar-jun-aug-2025-intake-job-at-elm-company-4056466814,2024-10-23T19:02:42.191Z,,,human resource management,,"Communication skills, Teamwork, Problem-solving, Adaptability","Elm Company offers Coop Training opportunities in various domains, including HR. The HR Coop program requires a minimum GPA of 2.75/4.0 or 3.25/5.0 and is open to students with one remaining final semester before graduation. The program lasts a minimum of 16 weeks."
